Date,Open,High,Low,Close
9/30/2022,3.31%,3.32%,3.20%,3.27%
9/29/2022,3.33%,3.34%,3.22%,3.24%
9/28/2022,3.29%,3.35%,3.21%,3.33%
9/27/2022,3.25%,3.34%,3.17%,3.29%
9/26/2022,3.19%,3.25%,3.11%,3.25%
9/23/2022,3.21%,3.25%,3.12%,3.19%
9/22/2022,3.27%,3.30%,3.11%,3.21%
9/21/2022,3.26%,3.36%,3.05%,3.27%
9/20/2022,3.15%,3.31%,3.06%,3.26%
9/19/2022,3.14%,3.18%,3.05%,3.16%
9/16/2022,3.16%,3.19%,3.08%,3.14%
9/15/2022,3.21%,3.23%,3.09%,3.16%
9/14/2022,3.20%,3.27%,3.13%,3.21%
9/13/2022,3.09%,3.28%,3.02%,3.20%
9/12/2022,3.04%,3.09%,2.94%,3.09%
9/9/2022,3.03%,3.05%,2.96%,3.04%
9/8/2022,3.02%,3.04%,2.95%,3.03%
9/7/2022,3.00%,3.06%,2.92%,3.02%
9/6/2022,2.90%,3.00%,2.81%,2.94%
9/5/2022,2.90%,2.90%,2.84%,2.90%
9/2/2022,2.94%,2.94%,2.82%,2.90%
9/1/2022,2.93%,2.96%,2.85%,2.94%
8/31/2022,2.91%,2.95%,2.84%,2.93%
8/30/2022,2.89%,2.94%,2.82%,2.91%
8/29/2022,2.84%,2.89%,2.76%,2.88%
8/26/2022,2.81%,2.86%,2.73%,2.86%
8/25/2022,2.78%,2.81%,2.71%,2.81%
