Date,Open,High,Low,Close
12/2/2022,4.33%,4.34%,4.29%,4.31%
12/1/2022,4.35%,4.37%,4.32%,4.33%
11/30/2022,4.36%,4.40%,4.34%,4.35%
11/29/2022,4.30%,4.38%,4.28%,4.36%
11/28/2022,4.29%,4.32%,4.26%,4.30%
11/25/2022,4.25%,4.31%,4.25%,4.29%
11/23/2022,4.25%,4.33%,4.22%,4.25%
11/22/2022,4.21%,4.29%,4.21%,4.25%
11/21/2022,4.25%,4.25%,4.20%,4.21%
11/18/2022,4.23%,4.27%,4.22%,4.25%
11/17/2022,4.20%,4.25%,4.20%,4.23%
11/16/2022,4.19%,4.25%,4.18%,4.20%
11/15/2022,4.17%,4.22%,4.16%,4.19%
11/14/2022,4.17%,4.21%,4.15%,4.17%
11/10/2022,4.16%,4.21%,4.11%,4.17%
11/9/2022,4.16%,4.21%,4.15%,4.16%
11/8/2022,4.08%,4.19%,4.08%,4.16%
11/7/2022,4.12%,4.13%,4.08%,4.11%
11/4/2022,4.13%,4.15%,4.09%,4.11%
11/3/2022,4.14%,4.15%,4.10%,4.14%
11/2/2022,4.13%,4.17%,4.11%,4.02%
11/1/2022,4.17%,4.17%,4.06%,4.13%
10/31/2022,4.08%,4.17%,3.67%,4.08%
10/28/2022,4.04%,4.09%,4.01%,4.08%
10/27/2022,4.03%,4.06%,4.00%,4.04%
10/26/2022,4.04%,4.07%,4.01%,4.03%
10/25/2022,4.02%,4.07%,3.98%,4.04%
10/24/2022,3.99%,4.03%,3.97%,4.02%
10/21/2022,3.99%,4.01%,3.88%,3.99%
10/20/2022,3.99%,4.01%,3.83%,3.89%
10/19/2022,3.90%,4.01%,3.77%,3.99%
10/18/2022,3.77%,3.90%,3.62%,3.90%
10/17/2022,3.71%,3.79%,3.61%,3.77%
10/14/2022,3.71%,3.74%,3.59%,3.72%
10/13/2022,3.62%,3.71%,3.53%,3.71%
10/12/2022,3.44%,3.64%,3.34%,3.62%
10/11/2022,3.37%,3.44%,3.29%,3.44%
10/10/2022,3.37%,3.37%,3.29%,3.37%
10/7/2022,3.38%,3.38%,3.26%,3.37%
10/6/2022,3.38%,3.39%,3.29%,3.38%
10/5/2022,3.39%,3.42%,3.28%,3.38%
10/4/2022,3.24%,3.40%,3.17%,3.39%
10/3/2022,3.27%,3.30%,3.17%,3.23%
9/30/2022,3.31%,3.32%,3.20%,3.27%
9/29/2022,3.33%,3.34%,3.22%,3.24%
9/28/2022,3.29%,3.35%,3.21%,3.33%
9/27/2022,3.25%,3.34%,3.17%,3.29%
9/26/2022,3.19%,3.25%,3.11%,3.25%
9/23/2022,3.21%,3.25%,3.12%,3.19%
9/22/2022,3.27%,3.30%,3.11%,3.21%
9/21/2022,3.26%,3.36%,3.05%,3.27%
9/20/2022,3.15%,3.31%,3.06%,3.26%
9/19/2022,3.14%,3.18%,3.05%,3.16%
9/16/2022,3.16%,3.19%,3.08%,3.14%
9/15/2022,3.21%,3.23%,3.09%,3.16%
9/14/2022,3.20%,3.27%,3.13%,3.21%
9/13/2022,3.09%,3.28%,3.02%,3.20%
9/12/2022,3.04%,3.09%,2.94%,3.09%
9/9/2022,3.03%,3.05%,2.96%,3.04%
9/8/2022,3.02%,3.04%,2.95%,3.03%
9/7/2022,3.00%,3.06%,2.92%,3.02%
9/6/2022,2.90%,3.00%,2.81%,2.94%
9/2/2022,2.94%,2.94%,2.82%,2.90%
9/1/2022,2.93%,2.96%,2.85%,2.94%
8/31/2022,2.91%,2.95%,2.84%,2.93%
8/30/2022,2.89%,2.94%,2.82%,2.91%
8/29/2022,2.84%,2.89%,2.76%,2.88%
8/26/2022,2.81%,2.86%,2.73%,2.86%
8/25/2022,2.78%,2.81%,2.71%,2.81%
